OBJECTID,GlobalID,idInterruption,panneMajeure,geometry,timestamp
497840,621690fd-846f-4c0d-843a-321d73e5bec9,NOR-I-13440-1,1,POINT (-73.5739242925798 45.4482847777095),2023-04-06 09:52:13.753041
497841,292f0185-b86e-45cd-953b-5e9d4644810a,NOR-I-13534-1,1,POINT (-73.6232363298906 45.438704370512),2023-04-06 09:52:13.753041
497842,dd01a1db-b300-42a0-8dcc-c4ce7cbf832d,NOR-I-13277-1,1,POINT (-73.6050285658678 45.4476407426565),2023-04-06 09:52:13.753041
497843,8f036d93-f01e-4af5-950a-a20d7564769e,NOR-I-13450-1,1,POINT (-73.5773114576915 45.4440315273142),2023-04-06 09:52:13.753041
497845,48c3287f-adfe-407b-8436-b615dd2183a5,NOR-I-13427-1,1,POINT (-73.5712232664202 45.4486047613457),2023-04-06 09:52:13.753041
497846,e9eebc42-224b-4abc-9039-e2f5fe7a8d95,NOR-I-13431-1,1,POINT (-73.5797044397862 45.4494530147061),2023-04-06 09:52:13.753041
497847,f91c18d0-1de8-475a-a784-25490ca4e898,NOR-I-13426-1,1,POINT (-73.570012309783 45.4511021420132),2023-04-06 09:52:13.753041
497848,d7796a4f-506a-49f8-9c78-b7e82f6e3e72,NOR-I-13428-1,1,POINT (-73.580668641344 45.4481982654482),2023-04-06 09:52:13.753041
497849,bce57a50-b39a-4d28-b2ae-29b3d85fe987,NOR-I-13425-1,1,POINT (-73.5814267036003 45.4474249511336),2023-04-06 09:52:13.753041
497850,6ee8cc0c-a9e9-4d65-a2e7-9f3285fd3f3b,NOR-I-13434-1,1,POINT (-73.5760111682671 45.4486985702647),2023-04-06 09:52:13.753041
497851,dc037ad7-150e-4672-ae06-7a8da6fedd2a,NOR-I-13432-1,1,POINT (-73.5749475364319 45.4490469207457),2023-04-06 09:52:13.753041
497852,b9e42081-52c8-4b88-8acb-1c0b129bb7b6,NOR-I-13462-1,1,POINT (-73.5739390512253 45.4504776063658),2023-04-06 09:52:13.753041
497853,e9b02f19-eba4-444c-8c3b-693d610dfee5,NOR-I-13437-1,1,POINT (-73.5778748416445 45.4449218190127),2023-04-06 09:52:13.753041
497854,2c9d4fbb-db48-4be5-b50f-9aca842caccf,NOR-I-13445-1,1,POINT (-73.5735869560174 45.4485992213575),2023-04-06 09:52:13.753041
497855,25663a93-d77c-413a-8d96-a2190580eef6,NOR-I-13446-1,1,POINT (-73.5770453507732 45.447231273264),2023-04-06 09:52:13.753041
497856,6fea3545-0eb0-4fb3-b702-0770768b07ca,NOR-I-13537-1,1,POINT (-73.6542537831417 45.4322796186176),2023-04-06 09:52:13.753041
497858,6359d7b2-2374-409e-a254-733f2544ebbc,NOR-I-13525-1,1,POINT (-73.6346542777703 45.43423685177),2023-04-06 09:52:13.753041
497861,1b1fa05c-d48b-4f98-aab1-82117d4becdc,NOR-I-13574-1,1,POINT (-73.6511138426191 45.4330497973444),2023-04-06 09:52:13.753041
497867,82199b9e-bf7e-4f89-92ed-1467975b971d,LAV-I-17784-1,1,POINT (-74.6777118363586 46.1660686742859),2023-04-06 09:52:13.753041
497870,49042fb8-a4f8-48ed-82f8-3a85388b7ade,LAV-I-17612-1,1,POINT (-74.7365278683731 45.948964901712),2023-04-06 09:52:13.753041
